Name,Coordinates
Kinugawa,"35.93933,139.948714;36.0118229,139.9737006;36.137561,139.9532397;36.225421,139.910535;36.4741738,139.9638926;36.6023791,139.9719635;36.6945729,139.9342304;36.768768,139.750644;36.813319,139.708402;36.8366071,139.7210851;36.863974,139.71312;36.8649451,139.7121891;36.8980321,139.6976423;36.901813,139.675887;36.881072,139.650811;36.8692165,139.6248337;36.8689203,139.6239755;36.865566,139.583972;36.864256,139.550482;36.874386,139.521654;36.8794659,139.46712;36.880001,139.438103;36.8734997,139.4014307;36.867684,139.392801;36.858143,139.375522"
Oi,"34.9181996,138.0865614;34.989777,138.076542;35.074656,138.102399;35.108236,138.127449;35.138295,138.146745;35.153958,138.146969;35.170574,138.185051;35.164447,138.160158;35.207863,138.207735;35.273824,138.225925;35.2831773,138.2214524;35.297027,138.220596;35.366872,138.198344;35.405678,138.205066;35.4472098,138.2189852;35.4888049,138.2416545;35.549454,138.246525;35.5524362,138.2353705;35.591357,138.214639;35.627203,138.215967"
Naka,"36.363232,140.543565;36.3787118,140.4960883;36.472428,140.410213;36.49237,140.393739;36.551549,140.323094;36.566382,140.237056;36.58261,140.193086;36.6172801,140.1667506;36.68705,140.169927;36.748465,140.137662;36.831944,140.126399;36.8927477,140.1245576;36.9308336,140.1127293;36.9862915,140.0468113;37.0351776,139.9945672;37.0470181,139.9509148;37.0722791,139.9161964;37.11469,139.900328;37.1234474,139.9172007;37.1365416,139.9271017;37.1465374,139.9519054"
Chikugo,"33.086495,131.165392;33.078357,131.157701;33.0764242,131.1472302;33.0791861,131.1359928;33.083602,131.119211;33.089089,131.105038;33.096955,131.094;33.113276,131.0885956;33.1194304,131.0748247;33.1403107,131.052766;33.162944,131.044469;33.1858872,131.0280348;33.1951719,130.9946266;33.2203201,130.9911983;33.241663,130.984758;33.2605258,130.9638943;33.2859952,130.9522712;33.3147283,130.9129108;33.311341,130.877204;33.3347209,130.8456048;33.359878,130.807011;33.365101,130.748064;33.348833,130.6246867;33.326879,130.547574;33.2866161,130.4550954;33.211244,130.359179"
Tama,"35.7094057,139.3297588;35.6538292,139.4496828;35.6174068,139.5959038;35.794857,139.21894;35.811324,139.134073;35.7954794,139.0763028;35.792225,139.066511;35.8027238,139.0874574;35.7890604,139.0530879;35.8010178,139.0784654;35.8106512,139.1234175;35.804619,139.092398;35.8058172,139.1721463;35.811796,139.1623994;35.8142215,139.1487894;35.8010623,139.176075;35.804042,139.192537;35.801392,139.212648;35.7774166,139.2806143;35.7553998,139.3084172;35.7579045,139.2987359;35.7873552,139.2276181;35.7879957,139.2424636;35.793789,139.22402;35.780769,139.2788126;35.8130054,139.1266413"
Yoneshiro,"40.152268,140.956911;40.138718,140.933218;40.1181081,140.8974859;40.1186488,140.852764;40.129987,140.823859;40.175902,140.784093;40.2501952,140.7512801;40.226196,140.68006;40.229635,140.584627;40.268536,140.514164;40.269542,140.452577;40.261645,140.409494;40.222696,140.386523;40.212294,140.328196;40.20893,140.288461;40.206007,140.254623;40.200242,140.236343;40.202759,140.216911;40.221561,140.198567;40.221616,140.177417;40.221175,140.135129;40.212185,140.092062;40.203386,140.080755;40.192923,140.05138;40.21777,140.034197"
Kuji,"36.97514,140.290531;36.8654661,140.4177589;37.00115,140.326209;36.97696,140.308795;36.9821912,140.3985141;37.02565,140.362407;36.853973,140.401682;36.875941,140.416709;36.855764,140.410894;36.6298241,140.403073;36.502832,140.513642;36.507117,140.462593;36.502895,140.530164;36.5516395,140.4251504;36.518565,140.458972;36.6552052,140.3944677;36.4970765,140.4842235;36.49397,140.581219;36.601615,140.414869;36.48694,140.597312;36.503523,140.517926;36.50299,140.514247;36.564941,140.41457;36.531109,140.446885;36.602623,140.414123;36.611731,140.4030153;36.6846493,140.3897466;36.736538,140.386652;36.775942,140.3562488;36.823252,140.3832863;36.8627063,140.4190888;36.919772,140.4135952;37.002797,140.394591;37.027007,140.371877;37.025245,140.36239;36.989426,140.318569;37.002816,140.328346;36.986317,140.315573;36.976441,140.29834"
Niyodo,"33.541496,133.061803;33.540139,133.091841;33.537643,133.245362;33.565143,133.345237;33.563038,133.258251;33.5273371,133.4295616;33.551791,133.248608;33.578306,133.298934;33.5580432,133.3750285;33.461956,133.480794;33.540281,133.120499;33.576692,133.17467;33.5541435,133.2175623;33.576806,133.18504;33.556119,133.133092;33.4772465,133.4608069;33.522453,133.430451;33.560607,133.372897;33.577383,133.356532;33.5720028,133.3214384;33.570186,133.29199;33.5693462,133.2504891;33.549745,133.218968;33.573644,133.200283;33.566832,133.194973;33.576865,133.177313;33.563036,133.153171;33.553287,133.132484;33.5417148,133.1182465;33.538956,133.067664;33.54062,133.039643;33.543992,133.008105;33.572779,133.001803;33.612895,132.982811;33.589962,132.991695;33.628505,132.984348;33.6718827,133.0106907;33.661318,133.010065;33.6463639,133.0032973;33.67624,133.0341454;33.6764461,133.0405655;33.6687291,133.0606884;33.6901591,133.0875778;33.677161,133.073437;33.7137076,133.0915695;33.715572,133.0950366;33.7319457,133.1080233;33.7359164,133.1203637;33.7418277,133.121236;33.7484188,133.1257954;33.7557791,133.1154177"
Ibi,"35.643084,136.502766;35.697888,136.477947;35.570139,136.484224;35.734734,136.425511;35.564369,136.498573;35.747972,136.39199;35.6849437,136.4947418;35.62808,136.478541;35.3316603,136.6376658;35.299139,136.62057;35.265629,136.612896;35.455055,136.595208;35.415353,136.626316;35.5539591,136.5079325;35.520557,136.530975;35.125332,136.67073;35.4036726,136.640862;35.105657,136.668618;35.2337458,136.6166454;35.3451245,136.6533229;35.3038056,136.6258834;35.272475,136.611455;35.4640409,136.588718;35.438813,136.608996;35.4865676,136.5502417;35.5123042,136.5318507;35.529756,136.516318;35.5596736,136.5020311;35.5738246,136.4796657;35.5827835,136.4583674;35.6037971,136.4643227;35.636594,136.477548;35.639635,136.497019;35.642864,136.497847;35.662816,136.502212;35.695666,136.484694;35.697999,136.477641;35.718282,136.4465465;35.736779,136.425461;35.745146,136.413431;35.749141,136.395354;35.74989,136.39037"
Kuma,"32.495,130.603;32.432,130.656;32.366,130.642;32.306,130.609;32.248,130.659;32.212,130.758;32.222,130.849;32.269,130.941;32.320,131.009;32.378,131.022;32.439,130.970"
Sagami,"35.50325,139.376944;35.3727881,139.3709881;35.576435,139.301823;35.5199102,139.3674707;35.4135638,139.3689696;35.518382,139.370625;35.4290474,139.372621;35.4311187,138.850207;35.4426595,138.8515811;35.451883,138.844001;35.458114,138.827978;35.4557888,138.8200287;35.4565693,138.8107581;35.460495,138.8098;35.46653,138.8144446;35.473751,138.8147887;35.5006493,138.8238674;35.5096139,138.8360537;35.5235359,138.8486988;35.5317525,138.8702537;35.5383782,138.8829835;35.5471587,138.8995911;35.555999,138.905426;35.5651867,138.909497;35.5757511,138.9220045;35.5815915,138.9363766;35.5989613,138.9281252;35.6117757,138.9360507;35.6133122,138.9632079;35.6161046,138.9905154;35.602375,139.014248;35.6033226,139.037893;35.6113072,139.064095;35.6140459,139.0924301;35.615999,139.142166;35.609314,139.217521;35.589001,139.278819;35.5441125,139.324603;35.4825882,139.375073;35.416446,139.3703507;35.3556735,139.3704891"
Watarase,"36.172,139.691;36.207,139.692;36.267,139.580;36.302,139.499;36.340,139.410;36.380,139.352;36.449,139.283;36.490,139.275;36.536,139.354;36.597,139.406;36.631,139.434"
Yodo,"34.958485,135.910589;34.934108,135.913799;34.919298,135.913352;34.9075,135.869071;34.875165,135.844108;34.881531,135.820898;34.889988,135.80938;34.90373,135.797458;34.9218044,135.7874747;34.927799,135.771737;34.922053,135.756179;34.903765,135.731085;34.8786536,135.6780832;34.836451,135.647382;34.791986,135.612182;34.764294,135.583191;34.720013,135.50833"
Tedori,"36.1959588,136.6274734;36.116917,136.679196;36.123266,136.670651;36.126926,136.66509;36.14594,136.663265;36.160101,136.654961;36.183081,136.624537;36.3641115,136.611425;36.374318,136.610103;36.2982594,136.6379359;36.227786,136.637451;36.282069,136.645067;36.2953283,136.6382093;36.3231524,136.6463561;36.3464384,136.6267268;36.352589,136.624493;36.4615992,136.531755;36.45642,136.61004;36.486071,136.480879;36.394492,136.617617;36.404048,136.630976;36.446823,136.620176;36.451871,136.61836;36.45377,136.616191;36.455412,136.612542;36.4635061,136.4995272;36.4615992,136.531755;36.4603232,136.541223;36.459407,136.591431;36.446823,136.620176;36.451871,136.61836;36.45377,136.616191;36.455412,136.612542;36.410727,136.631614;36.395813,136.618001;36.365364,136.610579;36.37676,136.607382;36.359834,136.615832;36.3561311,136.6206395;36.342039,136.634191;36.3345236,136.6425972;36.3154207,136.648188;36.274304,136.6468159;36.2678027,136.6484555;36.212028,136.630751;36.1739908,136.6274021;36.158895,136.659074;36.127767,136.663143;36.146823,136.663209;36.114457,136.68197;36.114931,136.699076"
Kano,"34.961186,138.940281;34.9669889,138.9462464;35.0982757,138.8992522;34.94976,138.93602;34.925806,138.932864;35.0753385,138.921418;34.959916,138.944296;35.0739396,138.9238694;34.9990378,138.9339125;35.0701705,138.935409;35.0583603,138.9398577;34.9812846,138.9500514;35.068705,138.927;35.094996,138.858821;34.9191081,138.9301215;34.889605,138.9281647;34.8920248,138.9228414;35.0825009,138.9080751;35.0513721,138.9384648;35.038716,138.9412996;34.9119703,138.9254741;34.935671,138.935447;35.029971,138.9466173;34.9387289,138.933217;35.093446,138.8996864;34.9184136,138.9255555;34.8900256,138.9266809;34.8942692,138.9227813;34.9061846,138.9260429;34.9119703,138.9254741;34.9190469,138.9297901;34.924672,138.932296;34.9316469,138.9344276;34.941273,138.931473;34.951398,138.942113;34.961382,138.939987;34.967225,138.946158;34.979735,138.948634;34.991467,138.9421459;35.004775,138.9353273;35.0211873,138.9378309;35.0355085,138.947275;35.04537,138.9346908;35.0557819,138.9401162;35.0659659,138.9365321;35.0714456,138.9222789;35.078945,138.912919;35.086617,138.905269;35.0982757,138.8992522;35.1008766,138.8836831;35.094996,138.858821;35.0799842,138.8560034"
Katsura,"34.953,135.732;35.012,135.686;35.018,135.626;35.072,135.536;35.115,135.518;35.141,135.639;35.187,135.676;35.207,135.775;35.244,135.767"
Kamo,"35.093778,135.741577;35.083938,135.74519;35.102913,135.739342;35.086364,135.743627;35.106925,135.727358;34.9419808,135.7417603;35.0565437,135.7515591;34.9958553,135.7679284"
Uji,"34.8814507,135.6797026;34.927802,135.772084;34.9259209,135.7666413;34.924404,135.761316;34.921967,135.75596;34.9049179,135.7323887;34.9060888,135.7961317;34.912365,135.790002;34.919294,135.789748;34.9244347,135.7844148;34.9276877,135.7786408;34.888351,135.860045;34.885562,135.814436;34.889988,135.80938;34.895416,135.803578;34.900334,135.800675;34.883648,135.857473;34.871191,135.843686;34.878415,135.8295;34.882413,135.824175;34.882096,135.818818;34.897789,135.722924;34.894436,135.711069;34.920418,135.752905;34.919078,135.743998"
Omono,"39.1051443,140.4777343;39.2331148,140.433013;39.054497,140.405451;39.0492654,140.4193753;39.0575357,140.4348104;39.075107,140.4536547;39.1005736,140.475582;39.1312724,140.4820988;39.1695122,140.4740059;39.1942234,140.4501088;39.232539,140.43571;39.269823,140.398241;39.325808,140.423669;39.3815528,140.4605812;39.440855,140.4744116;39.478748,140.451196;39.488058,140.40266;39.501677,140.377188;39.5212,140.361848;39.5573,140.347628;39.562679,140.320384;39.561145,140.282311;39.518836,140.278214;39.521442,140.248328;39.54056,140.211158;39.588045,140.182893;39.658528,140.122995"
Shirakawa,"32.799572,130.713041;32.828959,130.756366;32.854549,130.857517;32.845643,130.784734;32.868552,130.934276;32.863938,130.996079;32.831249,131.032433;32.818866,131.086269;32.839413,131.129571"
Monobe,"33.7736166,134.0302503;33.779086,134.019844;33.738208,133.99141;33.70657,133.8640434;33.738543,133.985535;33.788915,134.018204;33.718928,133.932113;33.6383799,133.7305061;33.681367,133.839561;33.794574,134.017199;33.762003,134.032919;33.701583,133.865639;33.7306781,133.9613241;33.709711,133.904759;33.7702921,134.030863;33.756674,134.02583;33.74914,134.01257;33.746261,134.00942;33.6383658,133.7303635;33.5351938,133.6851906;33.615612,133.71396;33.638819,133.734552;33.655073,133.779391;33.661641,133.813611;33.683018,133.841273;33.690136,133.848273;33.700308,133.86864;33.699085,133.884868;33.705139,133.903687;33.7228699,133.9487041;33.734644,133.970759;33.736857,133.97231;33.742555,133.993095;33.746166,134.009699;33.751838,134.015613;33.7625401,134.0308095;33.7693075,134.0319442;33.774859,134.024742;33.78125,134.019601;33.790442,134.019392;33.796112,134.018487;33.797714,134.015934;33.816683,134.023751;33.807869,134.016362"
Kurobe,"36.5456363,137.6562825;36.4932414,137.594144;36.400391,137.580839;36.404372,137.562111;36.418032,137.54603;36.4308668,137.5623777;36.4630775,137.5722709;36.4857587,137.5740221;36.4935895,137.6067969;36.5040371,137.6330671;36.5757957,137.6662554;36.5874574,137.6747417;36.6078479,137.685484;36.6321784,137.6897487;36.6515976,137.6861594;36.6715755,137.6808707;36.685037,137.665168;36.7092457,137.6483442;36.7390634,137.6449271;36.7714234,137.6306239;36.7911117,137.6119565;36.8186256,137.5803012;36.8659389,137.546239;36.9077607,137.4440725"
Kuzuryu,"36.0788396,136.4166179;36.1065067,136.2597957;36.102471,136.197667;36.1102919,136.1788559;36.138927,136.175111;36.1813368,136.1531545;36.1006817,136.2788387;36.103739,136.323929;36.2189682,136.1387157;35.9683021,136.591349;35.975313,136.56527;36.0110118,136.5360237;35.9944263,136.5538849;35.904844,136.668961;35.927237,136.635609;35.936662,136.635743;35.9218711,136.6273989;35.875681,136.715578;35.9578711,136.6236049;35.9603116,136.6124354;36.0745347,136.4479244;35.871245,136.807166;35.877592,136.788183;35.872546,136.797861;35.871178,136.822738;35.868975,136.824032"
Hayatsuki,"36.6647265,137.4783394;36.6723976,137.4619156;36.726834,137.438523;36.7330571,137.4339999;36.743695,137.428636;36.678371,137.455569;36.685329,137.449278;36.691078,137.444404;36.705221,137.441638;36.7175819,137.4421902;36.7670621,137.4081193;36.7788813,137.3990016;36.7904384,137.3909558;36.752944,137.421437;36.759167,137.4129973;36.795786,137.387486;36.65052,137.548764;36.651251,137.508466;36.65092,137.548492;36.650047,137.544254;36.648498,137.537349;36.646525,137.533139;36.64606,137.524302;36.654033,137.505609;36.663147,137.484514;36.79151,137.389247;36.7991784,137.3831156;36.7695341,137.4054586;36.781959,137.397289;36.7583879,137.4134943;36.752944,137.421437;36.746494,137.426774;36.72818,137.436964;36.7343342,137.4340148;36.744145,137.428524;36.7065331,137.4416848;36.722162,137.4426601;36.698209,137.443279;36.68628,137.448556;36.6936573,137.4436117;36.6655713,137.4753025;36.6752677,137.4592308;36.662684,137.485435;36.649572,137.514248;36.652089,137.507537;36.64606,137.524302;36.65092,137.548492;36.650047,137.544254;36.648498,137.537349;36.646525,137.533139;36.65052,137.548764"
Kumano,"33.7353986,135.9739787;33.8021815,135.8866841;33.8669213,135.7728283;33.9694316,135.7989526;34.015792,135.798321;34.084061,135.757637;34.1618923,135.7501324;34.203988,135.750475;34.194123,135.801996;34.205293,135.825209;34.237554,135.862708;34.225637,135.890389;34.207326,135.915746"
Kiku,"34.665231,138.059613;34.688418,138.0743427;34.708853,138.07643;34.728431,138.0818;34.7433873,138.0890568;34.767292,138.0956346;34.7696213,138.1039945;34.775469,138.109689;34.7749602,138.1115629;34.7850316,138.1246198;34.8216308,138.105447;34.8140881,138.111971;34.8063117,138.1195032;34.7947213,138.1221997;34.7910422,138.1265492;34.824658,138.096732;34.822351,138.10103;34.831053,138.098376;34.839049,138.087561;34.834713,138.090844;34.8333408,138.0949027"
