Name,Japanese Name,Prefecture,Parents,Year,Production_Tonnes,Importance,Notes
Akitsu Ho,秋津穂,Nara,,,,2,Nara Prefecture sake rice variety.
Shizuku Hime,しずく媛,Ehime,,,,2,"Ehime Prefecture sake rice. Name means ""Droplet Princess""."
Tosa Uhara,土佐宇原,Kochi,,,,2,Kochi Prefecture sake rice variety.
Tosa Nishiki,土佐錦,Kochi,,,,2,Kochi Prefecture sake rice variety.
Kaze Naruko,風鳴子,Kochi,,,,2,"Kochi Prefecture sake rice. Name means ""Wind Chime""."
Jugemu,寿限無,Fukuoka,,,,2,Fukuoka Prefecture sake rice. Named after a famous Japanese folktale character.
Saikai No. 134,西海134号,Fukuoka,,,,2,Fukuoka Prefecture experimental variety for sake brewing.
Yume Ikon,夢一献,Fukuoka,,,,2,"Fukuoka Prefecture sake rice. Name means ""Dream Offering""."
Saga no Hana,佐賀の華,Saga,,,,2,"Saga Prefecture sake rice. Name means ""Flower of Saga""."
Reihou,麗峰,Saga,,,,2,"Saga Prefecture sake rice. Name means ""Beautiful Peak""."
